Word,Polarity
simplified,weakpos
actually,neutral
much,neutral
Hilarious,strongpos
so,neutral
desperate,strongneg
concerned,strongneg
corruption,strongneg
please,strongpos
relevant,strongpos
Huge,neutral
Appears,neutral
could,neutral
Moderate,weakpos
Strong,weakpos
betrayed,strongneg
powers,neutral
bizarre,weakneg
else,neutral
ignores,weakneg
crime,strongneg
against,weakneg
close,weakneg
urging,strongpos
active,weakpos
increasingly,neutral
specific,neutral
endorsed,strongpos
ignore,weakneg
still,neutral
viable,strongpos
know,neutral
great,weakpos
independent,strongpos
scared,strongneg
want,strongpos
helping,weakpos
decide,neutral
confronts,strongneg
Argues,weakneg
Trial,strongneg
exciting,strongpos
primary,neutral
Support,strongpos
real,weakpos
trying,weakneg
throwing,weakneg
lost,strongneg
Might,neutral
legitimate,strongpos
prove,neutral
showed,neutral
point,neutral
huge,neutral
likes,strongpos
Firm,neutral
best,weakpos
might,neutral
Democratic,weakpos
Else,neutral
negative,strongneg
admits,weakpos
hopes,strongpos
hurts,strongneg
Exposes,weakneg
Refuses,strongneg
most,neutral
loyal,strongpos
support,strongpos
endorses,strongpos
agrees,weakpos
contempt,strongneg
Steals,strongneg
Great,weakpos
Shows,neutral
crumble,strongneg
shows,neutral
cutting,weakneg
Lectures,weakneg
Black,weakneg
Devastating,strongneg
Lying,strongneg
supporting,strongpos
Confronts,strongneg
Accept,weakpos
Good,strongpos
high,neutral
happy,strongpos
